isogroup66386_c0_g1	 Ragulator complex protein LAMTOR5
isogroup12655_c0_g1	SEPT7 ATPase. Has a role at an early stage in the morphogenesis of the spore coat
isogroup12645_c0_g1	 It is involved in the biological process described with cytoskeletal anchoring at plasma membrane
isogroup12663_c0_g2	 Thrombospondin type 1 repeats
isogroup12650_c0_g1	DNAJC5B DnaJ molecular chaperone homology domain
isogroup12662_c0_g1	ATP6V0B Belongs to the V-ATPase proteolipid subunit family
isogroup12683_c0_g2	GTF2F1 positive regulation of transcription elongation from RNA polymerase II promoter
isogroup12664_c0_g2	 cell-matrix adhesion
isogroup12688_c0_g1	 protein heterodimerization activity
isogroup12688_c0_g2	 protein heterodimerization activity
isogroup12671_c0_g1	FANCD2 regulation of CD40 signaling pathway
isogroup12667_c0_g1	 Zinc ion binding
isogroup12659_c1_g1	RUVBL1 ATP-dependent 5'-3' DNA helicase activity
isogroup12659_c0_g1	RUVBL1 ATP-dependent 5'-3' DNA helicase activity
isogroup12637_c0_g1	 NACHT and WD repeat
isogroup12668_c0_g1	SLC9A8 sodium:proton antiporter activity
isogroup12651_c1_g2	SUPT4H1 positive regulation of DNA-templated transcription, elongation
isogroup12651_c0_g2	PCTP phosphatidylcholine transporter activity
isogroup12633_c0_g1	26-29-p Cathepsin propeptide inhibitor domain (I29)
isogroup12635_c0_g1	HSPA4L heat shock
isogroup12635_c0_g2	HSPA4L heat shock
isogroup12626_c0_g1	mlc-4 calcium ion binding
isogroup12626_c0_g2	mlc-4 calcium ion binding
isogroup12626_c0_g3	mlc-4 calcium ion binding
isogroup12630_c1_g1	MME Membrane metallo-endopeptidase-like 1
isogroup12619_c0_g1	 Integrase core domain
isogroup12624_c0_g1	 succinate-CoA ligase (ADP-forming) activity
isogroup12684_c0_g1	IVD isovaleryl-CoA dehydrogenase
isogroup12697_c0_g2	STX7 Glycosyltransferase like family
isogroup12611_c0_g1	RBM42 RNA binding motif protein 4.2
isogroup12642_c0_g3	 Helicase
isogroup12614_c0_g1	SAAL1 
isogroup12641_c0_g3	 Family with sequence similarity 46, member
isogroup12665_c0_g1	RPL4 Ribosomal protein L4
isogroup62257_c0_g1	MYO1E translation initiation factor activity
isogroup62273_c0_g1	CYP51A1 sterol 14-demethylase activity
isogroup62298_c0_g1	SUPT3H SPT3 homolog, SAGA and STAGA complex component
isogroup62296_c0_g1	ASPG asparaginase activity
isogroup55449_c0_g1	TSPAN7 Tetraspanin-7
isogroup55483_c0_g1	ACSBG2 acyl-CoA synthetase bubblegum family member 2
isogroup55434_c1_g1	 temperature-gated cation channel activity
isogroup55468_c0_g1	RER1 skeletal muscle acetylcholine-gated channel clustering
isogroup55486_c0_g1	MOSPD2 oxidosqualene cyclase activity
isogroup55433_c0_g1	EXOG DNA/RNA non-specific endonuclease
isogroup55429_c0_g1	HECTD1 E3 ubiquitin-protein ligase
isogroup55410_c0_g1	 Leucine Rich repeats (2 copies)
isogroup55409_c0_g1	gl C2H2-type zinc finger
isogroup55426_c0_g1	 Cugbp, Elav-like family member
isogroup55451_c0_g1	 hydrolase activity, acting on ester bonds
isogroup55416_c0_g1	RIIAD1 regulatory subunit of type II PKA R-subunit (RIIa) domain containing 1
isogroup55421_c0_g1	ERO1LB protein folding in endoplasmic reticulum
isogroup95836_c0_g1	NOC3L Nucleolar complex-associated protein
isogroup95833_c0_g1	PTPN14 protein tyrosine phosphatase activity
isogroup95868_c0_g1	PDXK pyridoxal 5'-phosphate salvage
isogroup95824_c0_g1	 peptide-methionine (S)-S-oxide reductase activity
isogroup95891_c0_g1	lat-2 Belongs to the G-protein coupled receptor 2 family
isogroup95886_c0_g1	 Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
isogroup95827_c0_g1	 positive regulation of interleukin-4-mediated signaling pathway
isogroup95829_c0_g1	EIF2S2 translation initiation factor activity
isogroup95859_c0_g1	 Amidohydrolase
isogroup95895_c0_g1	ZDHHC7 protein-cysteine S-acyltransferase activity
isogroup35280_c0_g1	 protein tyrosine phosphatase activity
isogroup35276_c0_g1	 phospholipid scrambling
isogroup35286_c0_g1	Gtp-bp signal recognition particle
isogroup35286_c0_g2	SRPR signal recognition particle binding
isogroup35262_c1_g2	SUFU Negative regulator in the hedgehog signaling pathway. Down-regulates GLI1-mediated transactivation of target genes. Part of a corepressor complex that acts on DNA-bound GLI1. May also act by linking GLI1 to BTRC and thereby targeting GLI1 to degradation by the proteasome. Sequesters GLI1, GLI2 and GLI3 in the cytoplasm, this effect is overcome by binding of STK36 to both SUFU and a GLI protein. Negative regulator of beta-catenin signaling. Regulates the formation of either the repressor form (GLI3R) or the activator form (GLI3A) of the full-length form of GLI3 (GLI3FL). GLI3FL is complexed with SUFU in the cytoplasm and is maintained in a neutral state. Without the Hh signal, the SUFU- GLI3 complex is recruited to cilia, leading to the efficient processing of GLI3FL into GLI3R. When Hh signaling is initiated, SUFU dissociates from GLI3FL and the latter translocates to the nucleus, where it is phosphorylated, destabilized, and converted to a transcriptional activator (GLI3A)
isogroup35262_c1_g4	SUFU Suppressor of fused homolog
isogroup35281_c0_g1	CATSPERD Catsper channel auxiliary subunit delta
isogroup35233_c1_g1	Ndg Low-density lipoprotein-receptor YWTD domain
isogroup35233_c0_g1	UTP11L rRNA processing
isogroup35234_c1_g1	AP3B2 Adaptor-related protein complex 3, beta 2 subunit
isogroup35241_c0_g1	ADA adenosine deaminase
isogroup35207_c0_g1	 transposition, RNA-mediated
isogroup86710_c0_g1	LRP4 Low density lipoprotein receptor-related protein 4
isogroup86758_c0_g1	EML5 microtubule binding
isogroup86728_c0_g1	FAP negative regulation of extracellular matrix disassembly
isogroup86760_c0_g1	DRAP1 DR1-associated protein 1 (negative cofactor 2 alpha)
isogroup86748_c1_g2	ORC1 Origin recognition complex, subunit 1
isogroup86748_c2_g1	ORC1 DNA replication
isogroup86752_c0_g1	 Belongs to the isocitrate and isopropylmalate dehydrogenases family
isogroup86733_c0_g1	plb1 hydrolase activity, acting on ester bonds
isogroup86719_c0_g1	RGS3 Regulator of G-protein signaling
isogroup88802_c0_g1	PLA2G15 phosphatidylethanolamine catabolic process
isogroup88818_c0_g1	 Deleted in malignant brain tumors 1
isogroup88892_c0_g1	IDE Insulin-degrading enzyme
isogroup88867_c0_g1	DPM1 Mannosyltransferase
isogroup88827_c0_g1	ITGB1BP1 negative regulation of cell adhesion involved in substrate-bound cell migration
isogroup88850_c0_g2	QARS glutamine-tRNA ligase activity
isogroup88834_c0_g1	RFFL negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis
isogroup88893_c0_g1	PPAN ribosomal large subunit assembly
isogroup88864_c0_g1	MRPL24 structural constituent of ribosome
isogroup42731_c0_g1	NDUFA9 NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit 9
isogroup42745_c0_g1	IDE beta-endorphin binding
isogroup42782_c0_g1	fra Neogenin C-terminus
isogroup42783_c0_g1	 RING-type zinc-finger
isogroup42700_c0_g1	 Interferon induced with helicase C domain 1
isogroup42732_c0_g2	PDE8B 3',5'-cyclic-AMP phosphodiesterase activity
isogroup42784_c0_g2	MTBP Mdm2-binding protein
isogroup42761_c0_g1	MNS1 Meiosis-specific nuclear structural protein 1
isogroup42737_c0_g1	AP2A1 Component of the adaptor protein complex 2 (AP-2). Adaptor protein complexes function in protein transport via transport vesicles in different membrane traffic pathways. Adaptor protein complexes are vesicle coat components and appear to be involved in cargo selection and vesicle formation. AP-2 is involved in clathrin-dependent endocytosis in which cargo proteins are incorporated into vesicles surrounded by clathrin (clathrin- coated vesicles, CCVs) which are destined for fusion with the early endosome. The clathrin lattice serves as a mechanical scaffold but is itself unable to bind directly to membrane components. Clathrin-associated adaptor protein (AP) complexes which can bind directly to both the clathrin lattice and to the lipid and protein components of membranes are considered to be the major clathrin adaptors contributing the CCV formation. AP-2 also serves as a cargo receptor to selectively sort the membrane proteins involved in receptor-mediated endocytosis. AP-2 seems to play a role in the recycling of synaptic vesicle membranes from the presynaptic surface. AP-2 recognizes Y-X-X- FILMV (Y-X-X-Phi) and ED -X-X-X-L- LI endocytosis signal motifs within the cytosolic tails of transmembrane cargo molecules. AP-2 may also play a role in maintaining normal post-endocytic trafficking through the ARF6-regulated, non-clathrin pathway. The AP-2 alpha subunit binds polyphosphoinositide-containing lipids, positioning AP-2 on the membrane. The AP-2 alpha subunit acts via its C- terminal appendage domain as a scaffolding platform for endocytic accessory proteins. The AP-2 alpha and AP-2 sigma subunits are thought to contribute to the recognition of the ED -X-X-X-L- LI motif
isogroup87353_c0_g1	Dhfr dihydrofolate reductase activity. It is involved in the biological process described with
isogroup87352_c0_g1	 Rab GTPase activator activity. It is involved in the biological process described with regulation of Rab GTPase activity
isogroup50582_c0_g1	GNL3 positive regulation of protein localization to chromosome, telomeric region
isogroup50523_c0_g1	TEX261 testis expressed 261
isogroup50511_c0_g1	 inositol-1,4,5-trisphosphate 3-kinase activity
isogroup50517_c0_g1	 Elongation factor G, domain IV
isogroup50580_c0_g1	MIB2 Mindbomb E3 ubiquitin protein ligase 2
isogroup50551_c0_g1	 Ependymin-like
isogroup50588_c0_g1	NAGK N-acetylglucosamine kinase
isogroup50531_c0_g1	ANKIB1 ubiquitin conjugating enzyme binding
isogroup50542_c0_g1	 amacrine cell differentiation
isogroup50542_c0_g2	DPH1 Diphthamide biosynthesis protein 1
isogroup50563_c0_g1	LARP6 La ribonucleoprotein domain family member 6
isogroup21425_c0_g1	 Glutathione S-transferase, C-terminal domain
isogroup21412_c0_g1	 Fas associated factor family member 2
isogroup21433_c0_g2	HSPA8 Heat shock cognate 71 kDa protein
isogroup21451_c0_g2	 Vacuolar Protein
isogroup21467_c0_g1	SPCS1 signal peptide processing
isogroup21406_c0_g1	TMEM192 TMEM192 family
isogroup21409_c0_g1	DNASE1 deoxyribonuclease I
isogroup21460_c0_g1	RRAS2 GTPase activity
isogroup21403_c1_g2	 gamma-aminobutyric acid type B receptor subunit
isogroup21403_c0_g1	 gamma-aminobutyric acid type B receptor subunit
isogroup21424_c0_g1	 K02A2.6-like
isogroup21455_c0_g1	 PLAC8 family
isogroup21432_c0_g2	TMED2 transmembrane emp24
isogroup21472_c0_g1	 transportin 3
isogroup21439_c0_g1	 guanyl-nucleotide exchange factor activity
isogroup21498_c1_g1	AMT aminomethyltransferase activity
isogroup21431_c0_g1	 S-(hydroxymethyl)glutathione dehydrogenase activity
isogroup21465_c0_g4	 RNA polymerase subunit CX
isogroup21428_c0_g1	EIF3G RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation. This subunit can bind 18S rRNA
isogroup21427_c0_g1	 Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.
isogroup21430_c0_g1	DGAT1 diacylglycerol O-acyltransferase
isogroup21480_c0_g3	GSR glutathione-disulfide reductase activity
isogroup68321_c0_g1	 negative regulation of cardiac chamber formation
isogroup68316_c0_g1	PGS1 CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial
isogroup68371_c0_g1	NLK MAP kinase activity
isogroup68322_c0_g1	UFD1L ER-associated misfolded protein catabolic process
isogroup68370_c0_g2	 positive regulation of interleukin-4-mediated signaling pathway
isogroup68395_c0_g1	 K02A2.6-like
isogroup68394_c0_g1	NLRP3 NLRP3 inflammasome complex assembly
isogroup68397_c0_g1	TK1 thymidine kinase activity
isogroup68389_c0_g1	 AIG1 family
isogroup68333_c0_g1	ARFIP1 factor interacting protein
isogroup66980_c0_g1	SRR Pyridoxal-phosphate dependent enzyme
isogroup66931_c0_g1	FURIN Peptidase S8 pro-domain
isogroup66965_c0_g2	CYP301A1 heme binding
isogroup66958_c0_g3	ACSBG2 acyl-CoA synthetase bubblegum family member 2
isogroup66913_c0_g1	 RanBP-type and C3HC4-type zinc
isogroup66914_c0_g2	RpS3 Belongs to the universal ribosomal protein uS3 family
isogroup66979_c0_g1	BRAF protein tyrosine phosphatase activity
isogroup66985_c0_g1	 K02A2.6-like
isogroup27195_c0_g1	CSDE1 nuclear-transcribed mRNA catabolic process, no-go decay
isogroup27133_c0_g1	MYH10 actin filament bundle distribution
isogroup27185_c0_g1	PDHX Pyruvate dehydrogenase
isogroup27169_c0_g1	TBCK regulation of vesicle fusion
isogroup27187_c0_g1	bgm long-chain-fatty-acid--CoA ligase ACSBG2-like
isogroup27158_c0_g1	SF3B1 spliceosomal complex assembly
isogroup27117_c0_g1	SGK1 serine threonine-protein kinase
isogroup27155_c0_g1	MIB2 ubiquitin-protein transferase activity
isogroup27183_c0_g1	EIF3B translation initiation factor binding
isogroup27175_c0_g1	BET1 vesicle fusion with Golgi apparatus
isogroup27113_c0_g1	BTK B cell affinity maturation
isogroup27149_c0_g1	 Protein tyrosine kinase
isogroup27159_c0_g4	CCNA2 cell division
isogroup27159_c0_g1	STARD10 StAR-related lipid transfer (START) domain containing 10
isogroup27159_c0_g3	STARD10 StAR-related lipid transfer (START) domain containing 10
isogroup27131_c0_g1	 Si dkey-14d8.7
isogroup34801_c0_g1	SLC25A31 ATP:ADP antiporter activity
isogroup34895_c0_g1	LIAS Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives
isogroup34855_c0_g2	 Jerky protein homolog-like
isogroup34803_c0_g1	DNAH8 ATP-dependent microtubule motor activity, minus-end-directed
isogroup34892_c0_g1	PNPLA2 diolein transacylation activity
isogroup34862_c0_g1	NNMT amine N-methyltransferase activity
isogroup34819_c0_g1	RpL3 Ribosomal protein L3
isogroup34822_c1_g1	 Nuclear factor (erythroid-derived 2)-like 3
isogroup34834_c0_g1	STX8 syntaxin 8
isogroup34872_c0_g1	TAF3 p53 binding
isogroup34830_c0_g1	NUP107 Nuclear pore protein 84 / 107
isogroup34809_c0_g1	PCYOX1L prenylcysteine oxidase activity
isogroup34301_c0_g2	RMDN1 cellular calcium ion homeostasis
isogroup34373_c0_g1	MOB4 kinase binding
isogroup34326_c0_g1	 miRNA binding
isogroup34317_c0_g1	EXOC5 vesicle docking
isogroup34359_c0_g1	 Disintegrin and metalloproteinase domain-containing protein
isogroup34394_c0_g1	 microtubule-based process
isogroup34338_c0_g2	 transporter activity. It is involved in the biological process described with oligopeptide transport
isogroup34334_c0_g1	ACO2 regulation of ARF protein signal transduction
isogroup34335_c0_g1	 Alpha-kinase family
isogroup34364_c0_g1	GLB1L2 beta-galactosidase activity
isogroup34304_c0_g1	PSMA6 threonine-type endopeptidase activity
isogroup34316_c0_g1	 Key enzyme for ketone body catabolism. Transfers the CoA moiety from succinate to acetoacetate. Formation of the enzyme-CoA intermediate proceeds via an unstable anhydride species formed between the carboxylate groups of the enzyme and substrate
isogroup34395_c0_g1	gcs-1 glutamate-cysteine ligase activity
isogroup34332_c2_g1	DLD dihydrolipoyl dehydrogenase
isogroup34331_c0_g2	ERBB2 cellular response to epidermal growth factor stimulus
isogroup34323_c0_g1	 sphingolipid transporter activity
isogroup34383_c0_g1	CDT1 DNA replication factor
isogroup34313_c0_g1	 Alcohol dehydrogenase GroES-like domain
isogroup34361_c0_g1	DNAH8 ATP-dependent microtubule motor activity, minus-end-directed
isogroup34385_c0_g1	MND1 homologous recombination
isogroup34389_c0_g1	HARS histidine--tRNA ligase, cytoplasmic-like
isogroup29244_c0_g1	 Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. Adenylate kinase activity is critical for regulation of the phosphate utilization and the AMP de novo biosynthesis pathways
isogroup29273_c0_g1	SDK2 Sidekick homolog 2b (chicken)
isogroup29273_c0_g2	 Immunoglobulin C-2 Type
isogroup29234_c0_g1	ATF7 Transcription factor
isogroup29241_c4_g1	PPO1 monophenol monooxygenase activity
isogroup29253_c0_g1	 Sulfate transmembrane transporter activity. It is involved in the biological process described with sulfate transport
isogroup29229_c0_g1	 Converts sphingomyelin to ceramide
isogroup29229_c0_g2	 Converts sphingomyelin to ceramide
isogroup29271_c0_g1	CYB5R3 negative regulation of protein kinase activity by regulation of protein phosphorylation
isogroup29293_c0_g1	 regulation of mitotic cell cycle
isogroup29202_c0_g1	 Src homology 3 domains
isogroup29288_c0_g1	 negative regulation of non-canonical Wnt signaling pathway
isogroup29268_c0_g1	NDNL2 renal sodium ion absorption
isogroup29268_c0_g2	NDNL2 renal sodium ion absorption
isogroup29200_c0_g1	STX17 Glycosyltransferase like family
isogroup29237_c0_g1	calu Calumenin b
isogroup29206_c0_g1	sno strawberry notch homolog
isogroup29286_c0_g1	 Transposase IS4
isogroup29264_c0_g1	 Belongs to the sterol desaturase family
isogroup29266_c0_g1	CCDC47 ER overload response
isogroup29299_c1_g3	MAPKAPK3 kinase-activated protein kinase
isogroup29299_c1_g1	MAPKAPK3 kinase-activated protein kinase
isogroup29299_c0_g1	TRAPPC4 Rab guanyl-nucleotide exchange factor activity
isogroup29299_c1_g4	MAPKAPK3 kinase-activated protein kinase
isogroup29215_c0_g1	ACOX1 acyl-Coenzyme A oxidase
isogroup29254_c0_g1	NDUFA13 GRIM-19 protein
isogroup29289_c0_g1	IMP3 snoRNA binding
isogroup29269_c0_g3	 Serine threonine-protein phosphatase
isogroup97983_c0_g1	 gamma-aminobutyric acid type B receptor subunit
isogroup97919_c0_g1	EMC1 ER membrane protein complex subunit 1
isogroup97912_c0_g1	GSPT1 regulation of response to stimulus
isogroup97993_c0_g1	BLOC1S2 Biogenesis of lysosome-related organelles
isogroup97964_c0_g1	LOXL2 Lysyl oxidase-like 2a
isogroup97902_c0_g1	ABCF1 ATP-binding cassette, sub-family F
isogroup78270_c0_g1	 beta-D-xylosidase
isogroup78253_c0_g1	CLTC clathrin light chain binding
isogroup78290_c0_g1	EIF3C translation initiation factor binding
isogroup78289_c0_g1	MMADHC cobalamin metabolic process
isogroup78249_c0_g1	 nucleic acid binding
isogroup78209_c0_g1	PSAP Prosaposin
isogroup78267_c0_g1	SLC35D2 UDP-glucuronic acid transmembrane transporter activity
isogroup78242_c0_g1	TNPO1 ribosomal protein import into nucleus
isogroup78266_c0_g1	CALU calcium ion binding
isogroup78241_c0_g1	ENGASE mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity
isogroup67212_c0_g1	BCAP31 B-cell receptor-associated protein 31
isogroup67276_c0_g1	PLA2G15 phosphatidylethanolamine catabolic process
isogroup67297_c0_g2	 homophilic cell adhesion via plasma membrane adhesion molecules
isogroup67251_c0_g1	sno strawberry notch homolog
