k141_145339_5	chemotaxis, protein
k141_91609_11	Serine/threonine phosphatases, family 2C, catalytic domain
k141_91609_12	Type VI secretion
k141_91609_13	PFAM Toluene tolerance
k141_91609_14	Glycosyl transferase family 21
k141_91609_15	Radical SAM domain
k141_91609_16	Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis
k141_91609_17	TIGRFAM hopanoid biosynthesis associated RND transporter like protein HpnN
k141_91609_19	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP)
k141_91609_21	Squalene-hopene cyclase N-terminal domain
k141_91609_22	other phosphorylase family 1
k141_91609_23	NmrA-like family
k141_91609_25	YdjC-like protein
k141_91609_29	Lysylphosphatidylglycerol synthase TM region
k141_91609_34	Belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family
k141_91609_36	Na( ) H( ) antiporter that extrudes sodium in exchange for external protons
k141_236147_1	COG1629 Outer membrane receptor proteins, mostly Fe transport
k141_16678_1	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis
k141_16678_2	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis
k141_92184_1	ATP-dependent Clp protease, ATP-binding subunit ClpA
k141_92184_3	Evidence 4 Homologs of previously reported genes of
k141_236637_1	Peptidase C39 family
k141_236637_2	COG2274 ABC-type bacteriocin lantibiotic exporters, contain an N-terminal double-glycine peptidase domain
k141_236637_5	COG2931 RTX toxins and related Ca2 -binding proteins
k141_455273_1	TIGRFAM formate dehydrogenase, alpha subunit
k141_236751_5	Belongs to the short-chain dehydrogenases reductases (SDR) family
k141_236751_6	HAMP (Histidine kinases, Adenylyl cyclases, Methyl binding proteins, Phosphatases) domain
k141_236751_8	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
k141_236751_13	Protein of unknown function (DUF1624)
k141_236751_16	Transposase
k141_307950_2	Transposase
k141_307950_3	Transposase IS200 like
k141_307998_1	Multidrug MFS transporter
k141_307998_2	Helix-turn-helix domain
k141_383382_2	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is involved in regulation of expression of heat shock genes
k141_308051_1	COG0210 Superfamily I DNA and RNA helicases
k141_92968_1	Involved in the biosynthesis of porphyrin-containing compound
k141_92968_2	Cysteine-rich CPXCG
k141_92968_3	50S ribosomal protein L31
k141_92968_4	nuclease
k141_92968_5	Belongs to the citrate synthase family
k141_92968_6	mRNA catabolic process
k141_92968_7	penicillin-binding protein
k141_92968_8	TIGRFAM type IV pilus assembly protein PilM
k141_92968_9	PFAM Fimbrial assembly
k141_92968_10	Pilus assembly protein PilO
k141_92968_11	PFAM Pilus assembly protein PilP
k141_92968_12	Type II secretory pathway, component
k141_92968_13	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate
k141_92968_14	PFAM Ig domain protein, group 1 domain protein
k141_92968_15	Catalyzes the conversion of 3-deoxy-D-arabino- heptulosonate 7-phosphate (DAHP) to dehydroquinate (DHQ)
k141_92968_17	glutamate synthase
k141_92968_18	Pyridine nucleotide-disulphide oxidoreductase
k141_92968_20	glutamate synthase
k141_92968_21	Pyridine nucleotide-disulphide oxidoreductase
k141_92968_22	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III
k141_92968_26	TIGRFAM isocitrate dehydrogenase, NADP-dependent
k141_92968_27	Pyruvate ferredoxin oxidoreductase and related 2-oxoacid ferredoxin oxidoreductases
k141_92968_28	COG1013 Pyruvate ferredoxin oxidoreductase and related 2-oxoacid ferredoxin oxidoreductases, beta subunit
k141_92968_30	Fe-S cluster
k141_92968_31	Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin
k141_92968_32	Part of a membrane complex involved in electron transport
k141_92968_33	Part of a membrane complex involved in electron transport
k141_92968_34	Part of a membrane complex involved in electron transport
k141_92968_35	Part of a membrane complex involved in electron transport
k141_92968_36	Part of a membrane complex involved in electron transport
k141_308542_3	Bacterial regulatory helix-turn-helix protein, lysR family
k141_384043_1	Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template
k141_384043_3	Belongs to the ALAD family
k141_93335_1	PFAM FAD-dependent pyridine nucleotide-disulphide oxidoreductase
k141_93335_2	4Fe-4S dicluster domain
k141_456567_1	Catalyzes the reductive cleavage of azo bond in aromatic azo compounds to the corresponding amines. Requires NADH, but not NADPH, as an electron donor for its activity
k141_456567_2	Belongs to the sigma-70 factor family. ECF subfamily
k141_456587_1	Transcriptional regulator
k141_456587_2	membrane transporter protein
k141_456587_3	5'-nucleotidase
k141_456805_3	Toxic component of a toxin-antitoxin (TA) module
k141_456812_1	Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol- acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3- dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3- hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate
k141_384551_2	Protein of unknown function (DUF1249)
k141_384551_3	-
k141_384551_4	Acts both as a biotin-- acetyl-CoA-carboxylase ligase and a biotin-operon repressor. In the presence of ATP, BirA activates biotin to form the BirA-biotinyl-5'-adenylate (BirA-bio- 5'-AMP or holoBirA) complex. HoloBirA can either transfer the biotinyl moiety to the biotin carboxyl carrier protein (BCCP) subunit of acetyl-CoA carboxylase, or bind to the biotin operator site and inhibit transcription of the operon
k141_384551_5	Catalyzes the phosphorylation of pantothenate (Pan), the first step in CoA biosynthesis
k141_384551_10	SMART Water Stress and Hypersensitive response domain protein
k141_384551_12	DNA polymerase III, alpha subunit
k141_384551_13	Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA
k141_384551_14	Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine
k141_309112_41	major facilitator superfamily
k141_238147_4	ChrR Cupin-like domain
k141_238147_5	Enoyl-(Acyl carrier protein) reductase
k141_238147_10	TLC ATP/ADP transporter
k141_238147_11	diguanylate cyclase
k141_18334_3	COG2274 ABC-type bacteriocin lantibiotic exporters, contain an N-terminal double-glycine peptidase domain
k141_18334_5	Nitrilase cyanide hydratase and apolipoprotein N-acyltransferase
k141_166672_2	NADH ubiquinone oxidoreductase subunit
k141_166672_4	Proton-conducting membrane transporter
k141_166672_14	PFAM Citrate transporter
k141_309193_1	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
k141_309193_10	Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family
k141_238327_1	Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily
k141_384791_2	oxidoreductase activity
k141_384791_3	DnaJ molecular chaperone homology domain
k141_384791_4	Cytotoxic translational repressor of toxin-antitoxin stability system
k141_384791_5	Transcriptional regulator
k141_309357_2	Helix-turn-helix domain
k141_94287_1	cheY-homologous receiver domain
k141_18819_1	COG0685 5,10-methylenetetrahydrofolate reductase
k141_18819_2	Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme
k141_18819_6	Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate
k141_457880_7	Domain of unknown function (DUF4357)
k141_457880_10	CBS domain
k141_457880_14	EamA-like transporter family
k141_457880_19	-
k141_457880_21	Belongs to the DEAD box helicase family
k141_457880_22	cold-shock protein
k141_457880_23	PFAM RNA recognition motif
k141_457956_9	COG1051 ADP-ribose pyrophosphatase
k141_457956_11	AAA domain, putative AbiEii toxin, Type IV TA system
k141_457956_12	ABC-2 type transporter
k141_457956_13	COG1651 Protein-disulfide isomerase
k141_457956_14	AIG2-like family
k141_167532_5	Urate oxidase N-terminal
k141_167532_6	COG4992 Ornithine acetylornithine aminotransferase
k141_167532_7	Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline
k141_167532_8	ABC transporter
k141_167532_9	SH3 domain
k141_167532_10	Belongs to the IlvD Edd family
k141_167532_11	Belongs to the peptidase M20A family. ArgE subfamily
k141_167532_12	Belongs to the acetyltransferase family. ArgA subfamily
k141_167532_19	TRAP-type C4-dicarboxylate transport system, large permease component
k141_167532_23	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)
k141_167532_24	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln)
k141_167532_25	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)
k141_167532_26	COG1077 Actin-like ATPase involved in cell morphogenesis
k141_167532_27	Involved in formation and maintenance of cell shape
k141_167532_28	Involved in formation of the rod shape of the cell. May also contribute to regulation of formation of penicillin-binding proteins
k141_167532_29	Catalyzes cross-linking of the peptidoglycan cell wall
k141_167532_30	Peptidoglycan polymerase that is essential for cell wall elongation
k141_167532_31	COG2951 Membrane-bound lytic murein transglycosylase B
k141_167532_32	Lytic transglycosylase with a strong preference for naked glycan strands that lack stem peptides
k141_167532_33	Belongs to the peptidase S11 family
k141_167532_34	PFAM Aminotransferase, class IV
k141_167532_35	Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate
k141_94817_1	Heme copper-type cytochrome quinol oxidase, subunit 3
k141_94817_2	oxidase assembly
k141_94817_3	Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B
k141_167684_1	protein domain associated with
